Date,Close,Open,High,Low,Volume
2018/8/6,113.38,117.342,119.872,112.383,39.06K
2018/8/7,107.84,113.377,118.057,107.603,60.02K
2018/8/8,94.3,107.818,107.838,93.044,86.05K
2018/8/9,100.32,94.563,102.081,94.563,56.06K
2018/8/10,91.46,100.338,100.96,90.17,58.75K
2018/8/11,92.92,91.525,97.043,87.321,93.43K
2018/8/12,93.13,92.917,95.447,91.54,44.13K
2018/8/13,87.76,93.132,97.131,87.727,55.80K
2018/8/14,84.02,87.759,87.759,77.713,99.97K
2018/8/15,89.28,84.022,93.95,83.944,67.12K
2018/8/16,91.07,89.284,92.785,88.645,50.02K
2018/8/17,99.28,91.065,101.457,90.629,62.22K
2018/8/18,98.03,99.281,104.902,93.869,66.17K
2018/8/19,98.48,98.042,98.817,94.563,34.54K
2018/8/20,92.69,98.48,102.428,92.694,64.15K
2018/8/21,94.78,92.692,96.509,91.824,45.19K
2018/8/22,89.77,94.769,98.653,87.743,64.29K
2018/8/23,89.98,89.773,91.379,88.629,39.16K
2018/8/24,93.53,89.97,94.044,88.542,44.79K
2018/8/25,92.5,93.526,96.459,91.949,40.80K
2018/8/26,94.75,92.495,94.872,90.165,40.43K
2018/8/27,105.11,94.728,105.505,93.351,77.33K
2018/8/28,107.58,105.095,107.938,102.289,54.19K
2018/8/29,103.55,107.575,108.453,100.773,49.06K
2018/8/30,103.06,103.546,106.321,97.14,57.33K
2018/8/31,116.35,103.061,118.101,102.726,126.10K
2018/9/1,120.9,116.346,124.533,115.461,133.48K
2018/9/2,120.3,120.899,125.508,116.397,83.88K
2018/9/3,134.96,120.303,135.975,119,115.41K
2018/9/4,138.12,134.956,140.196,134.58,116.21K
2018/9/5,114.33,138.112,140.022,113.411,169.05K
2018/9/6,117.22,114.326,118.014,108.258,116.76K
2018/9/7,110.77,117.285,119.524,110.175,70.87K
2018/9/8,103.83,110.765,114.169,101.473,82.81K
2018/9/9,105.22,103.827,110.436,100.481,68.34K
2018/9/10,105.43,105.267,109.097,103.762,45.99K
2018/9/11,105.09,105.442,108.83,100.734,59.02K
2018/9/12,104.19,105.068,105.479,96.849,74.12K
2018/9/13,111.87,104.192,116.21,104.192,93.50K
2018/9/14,116.7,111.865,117.259,109.177,81.90K
2018/9/15,119.22,116.68,121.896,115.879,65.55K
2018/9/16,117.04,119.157,119.157,113.062,54.46K
2018/9/17,106.06,117.045,120.135,106.008,92.74K
2018/9/18,112.09,105.979,112.9,103.52,64.56K
2018/9/19,109.47,112.094,112.555,104.837,57.17K
2018/9/20,115.81,109.415,116.18,109.391,57.40K
2018/9/21,124.17,115.811,124.672,115.664,85.32K
2018/9/22,122.33,124.169,125.699,118.745,52.65K
2018/9/23,122.62,122.328,128.133,120.6,54.65K
2018/9/24,115.03,122.525,123.314,114.401,63.50K
2018/9/25,116.6,115.034,116.603,111.177,54.18K
2018/9/26,115.09,116.603,117.556,112.368,36.67K
2018/9/27,119.14,115.13,121.37,112.333,42.19K
2018/9/28,116.96,119.187,122.117,115.301,42.95K
2018/9/29,114.44,116.97,120.143,110.536,60.03K
2018/9/30,115.76,114.443,116.927,113.789,43.37K
2018/10/1,114.44,115.767,117.479,112.819,32.47K
2018/10/2,116.75,114.441,120.258,112.24,35.80K
2018/10/3,114.47,116.799,117.649,107.87,37.44K
2018/10/4,114.68,114.47,118.746,113.549,25.48K
2018/10/5,115.37,114.719,115.927,113.318,41.50K
2018/10/6,114.87,115.368,115.642,113.341,14.95K
2018/10/7,113.73,114.869,115.214,112.49,17.56K
2018/10/8,114.28,113.753,115.604,112.912,22.57K
2018/10/9,113.69,114.279,114.878,113.212,20.93K
2018/10/10,114.46,113.767,114.628,111.582,32.27K
2018/10/11,100.7,114.463,114.644,100.617,68.24K
2018/10/12,101.74,100.655,104.79,100.295,20.64K
2018/10/13,103.51,101.983,103.974,101.85,21.59K
2018/10/14,101.05,103.875,104.28,100.933,22.52K
2018/10/15,108.99,101.045,118.14,100.88,109.78K
2018/10/16,110.25,109.695,111.233,108.076,29.21K
2018/10/17,109.06,110.245,111.054,107.712,22.46K
2018/10/18,105.07,109.409,109.951,103.924,21.53K
2018/10/19,105.49,105.069,107.671,104.893,24.21K
2018/10/20,105.89,105.49,107.287,105.277,16.45K
2018/10/21,106.66,106.159,108.232,106.057,15.21K
2018/10/22,107.49,106.891,107.611,105.95,18.77K
2018/10/23,109.6,107.493,111.836,107.493,36.20K
2018/10/24,108.12,109.6,110.599,108.017,26.37K
2018/10/25,107.8,108.259,108.308,106.643,34.00K
2018/10/26,106.05,107.85,108.039,105.79,55.24K
2018/10/27,104.49,106.099,106.106,104.295,64.25K
2018/10/28,105.31,104.49,105.656,102.743,87.48K
2018/10/29,101.86,105.325,105.368,101.318,24.47K
2018/10/30,101.79,101.853,103.016,101.025,38.13K
2018/10/31,104.99,101.788,106.258,100.95,25.48K
2018/11/1,104.81,104.987,105.449,103.068,18.83K
2018/11/2,106.58,104.813,107.059,104.361,23.30K
2018/11/3,107.12,106.601,107.898,104.913,23.44K
2018/11/4,112.69,107.119,113.366,105.825,30.46K
2018/11/5,112.08,112.686,113.396,109.861,23.32K
2018/11/6,113.6,112.079,114.185,111.104,32.71K
2018/11/7,111.93,113.604,114.392,110.018,23.56K
