Date,Open,High,Low,Close,Volume
2015/9/1,229.5,231.4,225.8,227.2,66.54K
2015/9/2,227.2,230.6,225.6,228.6,58.77K
2015/9/3,228.6,229.6,225.4,226.2,54.15K
2015/9/4,226.2,231.1,225.8,230.3,61.76K
2015/9/5,230.3,235.6,228.3,233.7,48.28K
2015/9/6,233.7,243.6,234.7,239.9,66.27K
2015/9/7,239.9,242.7,237.5,239.6,57.19K
2015/9/8,239.6,246.4,239.2,243.2,76.35K
2015/9/9,243.2,244.3,236.5,237.4,69.26K
2015/9/10,237.4,240.6,234.3,238.1,60.54K
2015/9/11,238.1,241,237.4,239.9,45.77K
2015/9/12,239.9,240.3,233.3,235.6,43.77K
2015/9/13,235.6,236.2,228.3,230.2,51.60K
2015/9/14,230.2,232.6,226,229.9,61.10K
2015/9/15,229.9,242.8,228,229.5,49.52K
2015/9/16,229.5,230.9,225.1,228.6,51.91K
2015/9/17,228.6,235.2,227.9,232.7,56.06K
2015/9/18,232.7,234.7,230.6,232.2,53.17K
2015/9/19,232.2,233.4,230.2,231.1,34.47K
2015/9/20,231.1,232.7,229.9,231.1,33.15K
2015/9/21,231.1,231.6,225,226.3,53.43K
2015/9/22,226.3,233.2,224.1,230,71.55K
2015/9/23,230,232.2,228.5,229.9,43.60K
2015/9/24,229.9,235.8,229.6,233.8,72.12K
2015/9/25,233.8,237.6,232.7,235,61.58K
2015/9/26,235,235.7,232.7,234.3,40.29K
2015/9/27,234.3,234.8,231.8,232.5,36.14K
2015/9/28,232.5,240.4,232.4,238.9,64.28K
2015/9/29,238.9,240.4,234.8,236.7,57.30K
2015/9/30,236.7,237.8,234.4,235.9,50.52K
2015/10/1,235.9,238.7,234.7,237.1,52.88K
2015/10/2,237.1,238.4,235.1,236.7,47.94K
2015/10/3,236.7,239.5,236.1,238.6,43.31K
2015/10/4,238.6,277.6,237.5,238.3,31.85K
2015/10/5,238.3,240.5,236.4,240.1,61.24K
2015/10/6,240.1,247.6,239.4,246.1,78.84K
2015/10/7,246.1,247.3,241.6,243,62.60K
2015/10/8,243,244.8,241.6,242.6,44.15K
2015/10/9,242.6,244.6,241.3,244,40.57K
2015/10/10,244,245.9,242.9,245.4,38.96K
2015/10/11,245.4,248.3,244.5,247.6,41.43K
2015/10/12,247.6,248,244.6,245.4,40.39K
2015/10/13,245.4,251.2,243.1,248.8,74.88K
2015/10/14,248.8,255.1,248.3,252.3,69.58K
2015/10/15,252.3,256.8,251.2,254.4,60.64K
2015/10/16,254.4,267.3,253.9,262.9,95.18K
2015/10/17,262.9,275.4,261.7,269.6,113.84K
2015/10/18,269.6,272.4,259.5,261.7,52.27K
2015/10/19,261.7,266,259.9,263.8,58.17K
2015/10/20,263.8,272.1,262.7,269.8,75.40K
2015/10/21,269.8,272.2,263.5,267.1,59.64K
2015/10/22,267.1,278.7,266.8,274.4,93.15K
2015/10/23,274.4,279.8,273.2,276.9,69.32K
2015/10/24,276.9,283,277,282.6,60.13K
2015/10/25,282.6,295.6,281.8,287.9,113.90K
2015/10/26,287.9,287.6,279.6,285.1,73.21K
2015/10/27,285.1,298.4,285.1,294.7,105.87K
2015/10/28,294.7,307.5,294,303.5,116.41K
2015/10/29,303.5,318.5,300.2,313.6,138.92K
2015/10/30,313.6,334.9,310.8,327.1,156.49K
2015/10/31,327.1,333.3,304.6,311.2,105.83K
2015/11/1,311.2,324.3,304.7,323,73.71K
2015/11/2,323,365.8,319.8,359.3,223.10K
2015/11/3,359.3,416.8,354.6,396.5,421.99K
2015/11/4,396.5,492.8,368.6,400.9,517.73K
2015/11/5,400.9,447.2,366.1,382.7,302.95K
2015/11/6,382.7,396.4,348.8,369.8,255.28K
2015/11/7,369.8,391.8,369,385.1,103.03K
2015/11/8,385.1,389.8,365.5,371.6,94.36K
2015/11/9,371.6,385.1,360.2,380.2,125.54K
2015/11/10,380.2,381.4,323.2,336.7,210.29K
2015/11/11,336.7,341.8,292.4,304.7,263.96K
2015/11/12,304.7,346.1,306.1,333.9,164.61K
2015/11/13,333.9,341.8,323.9,333.8,97.25K
2015/11/14,333.8,369.8,326.4,331.8,71.11K
2015/11/15,331.8,334.8,314.2,317.5,88.32K
2015/11/16,317.5,332,314.1,330.2,87.14K
2015/11/17,330.2,342.9,328.1,333.9,98.25K
2015/11/18,333.9,337.4,329.4,335.9,78.36K
2015/11/19,335.9,335.6,323.4,325,86.38K
2015/11/20,325,327.1,309.5,321.1,109.99K
2015/11/21,321.1,328.4,318.4,324.7,45.00K
2015/11/22,324.7,326.9,319.4,322.8,36.75K
2015/11/23,322.8,325,319.9,322.1,42.73K
2015/11/24,322.1,323.3,315.5,318.4,50.66K
2015/11/25,318.4,330,315.7,327.5,77.68K
2015/11/26,327.5,368.9,327.4,353.7,211.38K
2015/11/27,353.7,363.9,345.1,359.5,103.48K
2015/11/28,359.5,360.1,350.5,355.8,56.17K
2015/11/29,355.8,372.8,354.5,370.8,67.37K
2015/11/30,370.8,382.6,367.9,378,129.77K
2015/12/1,378,379,353.7,361.8,111.91K
2015/12/2,361.8,363.4,347.2,360,92.45K
2015/12/3,360,371.4,355.5,360.3,87.23K
2015/12/4,360.3,364,354.3,361.7,60.55K
2015/12/5,361.7,390.3,361.5,386.7,115.20K
2015/12/6,386.7,402.2,382.6,393.4,131.86K
2015/12/7,393.4,398.7,381.7,394.3,96.75K
2015/12/8,394.3,411.1,388,410.7,74.36K
2015/12/9,410.7,424.6,403.3,416,147.36K
2015/12/10,416,420.4,409.5,415.5,71.66K
2015/12/11,415.5,453.4,413.7,449.8,175.06K
2015/12/12,449.8,467.7,403.7,432.3,211.44K
2015/12/13,432.3,441,420.8,434.7,64.14K
2015/12/14,434.7,449.5,428.8,442,218.92K
2015/12/15,442,464.2,440.7,462.6,107.06K
2015/12/16,462.6,465.2,437.4,454,185.22K
2015/12/17,454,458.4,447.3,455.5,64.58K
2015/12/18,455.5,466.1,453.5,463.2,83.41K
2015/12/19,463.2,466,452.3,461.2,61.31K
2015/12/20,461.2,462.8,431.1,441.8,121.53K
2015/12/21,441.8,445.5,424,437.6,121.99K
