Date,Close,Open,High,Low,Volume
2019/6/27,158.1,175.41,176.97,150.79,638.94K
2019/6/28,170.59,158.1,171.05,156.1,344.73K
2019/6/29,169.75,170.62,171.15,163.92,404.85K
2019/6/30,157.06,169.75,171.36,156.22,584.99K
2019/7/1,154.59,157.07,161.74,147.55,372.13K
2019/7/2,151.86,154.59,155.42,146.12,254.20K
2019/7/3,157.69,151.87,157.85,151.87,345.20K
2019/7/4,155.7,157.69,161.62,154.17,437.02K
2019/7/5,154.16,155.69,155.7,151.59,373.58K
2019/7/6,154.06,154.16,157.34,153.35,374.56K
2019/7/7,157.49,154.08,158.62,153.04,354.24K
2019/7/8,159.14,157.5,159.61,156.09,658.87K
2019/7/9,156.06,159.14,161.81,152.89,519.48K
2019/7/10,150.66,156.06,157.26,143.27,486.81K
2019/7/11,143.21,150.67,150.71,135.63,410.75K
2019/7/12,142.91,143.19,148.45,141.38,354.99K
2019/7/13,140.02,142.91,143.6,136.98,462.52K
2019/7/14,123.13,140.01,140.78,122.51,456.39K
2019/7/15,120.96,123.11,124.09,117.2,495.74K
2019/7/16,99.74,120.96,123.1,99.45,453.88K
2019/7/17,102.23,99.77,106.89,95.45,358.46K
2019/7/18,109.99,102.24,111.76,99.45,349.96K
2019/7/19,112.2,110,113.41,106.86,401.34K
2019/7/20,116.6,112.19,120.14,112.19,384.45K
2019/7/21,118.6,116.59,119.07,115.79,437.88K
2019/7/22,114.37,118.6,119,112.38,448.30K
2019/7/23,109.38,114.37,114.67,109.12,431.68K
2019/7/24,109.47,109.4,111.14,107.04,433.39K
2019/7/25,114.95,109.49,116,109.21,407.85K
2019/7/26,114.98,114.95,115.31,112.12,428.51K
2019/7/27,110.63,115,116.46,108.75,442.82K
2019/7/28,108.31,110.62,112.07,102.96,481.63K
2019/7/29,105.86,108.31,109.57,104.86,426.84K
2019/7/30,104.76,105.73,107.64,104.06,461.84K
2019/7/31,108.71,104.75,108.72,104.6,450.64K
2019/8/1,107.09,108.71,109.02,104.81,452.51K
2019/8/2,105.04,107.09,108.83,104.07,526.35K
2019/8/3,106.63,105.04,107.85,105.03,471.64K
2019/8/4,105.97,106.63,106.87,103.29,510.97K
2019/8/5,110.21,105.97,112.5,105.95,447.04K
2019/8/6,106.58,110.22,111.45,104.28,477.59K
2019/8/7,107.46,106.58,110.57,105.94,520.91K
2019/8/8,105.83,107.48,107.86,103.96,777.75K
2019/8/9,103.65,105.83,105.97,102.77,698.53K
2019/8/10,99.17,103.65,104.29,97.52,601.77K
